스트링자료이름,국문
Common_Treasure_Desc_Text_020,<color=#FF7F00>어느 악마의 뿔처럼 보인다.\n 사악한 힘이 느껴진다.</color>
Common_Treasure_Desc_Text_021,<color=#FF7F00>소름끼치는 눈동자의 형태를 한 수정구이다.\n 그 내면 속에는 어떤 비밀이 숨겨져 있는지 아무도 모른다.</color>
Common_Weapon_Name_Text_001,<color=#FFFFFF>삽</color>
Common_Weapon_Name_Text_002,<color=#FFFFFF>거대검</color>
Common_Weapon_Name_Text_003,<color=#FFFFFF>미늘창</color>
Common_Weapon_Name_Text_004,<color=#FFFFFF>삼지창</color>
Common_Weapon_Name_Text_005,<color=#FFFFFF>나무방패</color>
Common_Weapon_Name_Text_006,<color=#FFFFFF>보석 둔기</color>
Common_Weapon_Name_Text_007,<color=#FFFFFF>녹슨 단검</color>
Common_Weapon_Name_Text_008,<color=#FFFFFF>수정 완드</color>
Common_Weapon_Name_Text_009,<color=#FFFFFF>투창</color>
Common_Weapon_Name_Text_010,<color=#FFFFFF>롱소드</color>
Common_Weapon_Name_Text_011,<color=#FFFFFF>시미터</color>
Common_Weapon_Name_Text_012,<color=#FFFFFF>화룡검</color>
Common_Weapon_Name_Text_013,<color=#FFFFFF>태산</color>
Common_Weapon_Name_Text_014,<color=#FFFFFF>청념결백</color>
Common_Weapon_Name_Text_015,<color=#FFFFFF>성창 셀레리타스</color>
Common_Weapon_Name_Text_016,<color=#5BB5FF>마검 오프리모</color>
Common_Weapon_Name_Text_017,<color=#5BB5FF>장인의 걸작</color>
Common_Weapon_Name_Text_018,<color=#5BB5FF>나무 망치</color>
Common_Weapon_Name_Text_019,<color=#5BB5FF>기백의 마상창</color>
Common_Weapon_Name_Text_020,<color=#5BB5FF>왕의 도전</color>
Common_Weapon_Desc_Text_001,<color=#FF7F00>평범한 삽이다.\n 자세한 설명은 생략한다.</color>
Common_Weapon_Desc_Text_002,<color=#FF7F00>장식용이 아니라 실전용이라는 것이 의문이다.\n 거대한 크기 때문에 무게가 상당하다.</color>
Common_Weapon_Desc_Text_003,<color=#FF7F00>찌르기와 베기 모두 특화되어 있는 창이다.</color>
Common_Weapon_Desc_Text_004,<color=#FF7F00>포크 형태의 창이잖아? 그럼 난 포크창이라 부르겠어.\n- 어느 단순한 모험가 -</color>
Common_Weapon_Desc_Text_005,<color=#FF7F00>이가 없으면 잇몸으로!!\n- 무기가 부서진 모험가 -</color>
Common_Weapon_Desc_Text_006,<color=#FF7F00>날카로운 보석들이 박힌 특이한 둔기이다.\n 내구도는 몰라도 위력은 상당해보인다.</color>
Common_Weapon_Desc_Text_007,<color=#FF7F00>슈슉! 이건 입에서 나오는 소리가 아니야!\n- 초보 모험가 -</color>
Common_Weapon_Desc_Text_008,"<color=#FF7F00>""적을 때리는 동시에 마법 공격을 하면 어떨까?""\n ""우와.. 너 천재 아니야?""\n- 쌍둥이 모험가 -</color>"
Common_Weapon_Desc_Text_009,<color=#FF7F00>끝부분이 강철로 된 투창이다.\n 전체적으로 만듦새가 무난하다.</color>
Common_Weapon_Desc_Text_010,<color=#FF7F00>사용감이 제법 있는 롱소드이다.\n 누군가의 이름이 각인되어 있다.</color>
Common_Weapon_Desc_Text_011,<color=#FF7F00>뱀처럼 휘는 곡선이 눈에 띄는 검이다.\n 다루기가 어려운 편이다.</color>
Common_Weapon_Desc_Text_012,<color=#FF7F00>드래곤의 힘이 깃든 검이다.\n 드래곤을 재료로 만들었을까?</color>
Common_Weapon_Desc_Text_013,<color=#FF7F00>내 신념은 너 따위가 꺾을 수 없다.\n- 검사 피데스 -</color>
Common_Weapon_Desc_Text_014,<color=#FF7F00>뛰어난 실력과 고귀한 성품을 가졌던 기사의 검이다.</color>
Common_Weapon_Desc_Text_015,<color=#FF7F00>보기와 다르게 굉장히 가벼운 창이다.\n 마치 신이 만든 무기 같다.</color>
Common_Weapon_Desc_Text_016,<color=#FF7F00>다행히 악의 기운이 모두 제거된 마검인 듯하다.\n 무엇이든 벨 수 있을 것 같다. </color>
Common_Weapon_Desc_Text_017,<color=#FF7F00>으하하!! 공격과 방어가 동시에 가능하다니! 역시 난 천재야!!\n- 어느 대장장이 -</color>
Common_Weapon_Desc_Text_018,"<color=#FF7F00>""달나라 토끼들이 이걸로 떡을 만들었다지?""\n""네가 말하는 건 절구야. 바보야.""\n- 모험가들 사이에서 -</color>"
Common_Weapon_Desc_Text_019,<color=#FF7F00>전설적인 투사가 사용했다던 창이다.\n 어마어마한 파괴력을 선보인다.</color>
Common_Weapon_Desc_Text_020,<color=#FF7F00>도전은 언제나 환영이다.\n- 도끼왕 렉스 -</color>
